id,title
814,THE IDOLM@STER CINDERELLA GIRLS 8周年特別企画 Spin-off!
815,それいけ！アンパンマン クリスマススペシャル サンタになったちびおおかみくん
816,なんでここに先生が!? 13時限目「なんでここに先生たちが！？」
817,配信勇者
818,デジモンアドベンチャー20th メモリアルストーリー
819,キミだけにモテたいんだ。
821,斉木楠雄のΨ難 Ψ始動編
823,ケンガンアシュラ Part2
824,HUMAN LOST 人間失格
828,SUPER SHIRO
829,映画 すみっコぐらし とびだす絵本とひみつのコ
833,銀河英雄伝説 Die Neue These 星乱 第二章
834,銀河英雄伝説 Die Neue These 星乱 第三章
835,テニスの王子様 BEST GAMES!! 不二 vs 切原
839,転生したらスライムだった件 OAD 外伝：HEY！尻！
840,ランウェイで笑って ミニアニメ
841,ボージャック・ホースマン シーズン6
842,劇場版「進撃の巨人」Season2～覚醒の咆哮～
845,Spiritpact-黄泉の契り-
849,斉木楠雄のΨ難 (第2期)
856,だがしかし2
860,さよならの朝に約束の花をかざろう
863,銀の墓守りII
867,B: The Beginning
869,ミルキーパニック twelve
871,citrus【シトラス】
873,ReLIFE 完結編
877,ドラえもん のび太の宝島
879,宇宙戦艦ヤマト2202 愛の戦士たち 第四章「天命篇」
886,レゴ ニンジャゴー(6)
887,七つの大罪 戒めの復活 (第2期)
889,A.I.C.O. Incarnation
895,怪獣娘～ウルトラ怪獣擬人化計画～ (第2期) 
896,誘惑★オフィスLOVER2 (タテアニメ)
899,劇場版マクロスΔ 激情のワルキューレ
900,ゆるキャン△ 映像特典
902,ヤンキーハムスター (タテアニメ)
903,一人之下 the outcast 羅天大醮篇
904,映画しまじろう まほうのしまのだいぼうけん
905,戦隊ヒーロー スキヤキフォース -ぐんまの平和を願うシーズン え、また？-
906,d松さん (おそ松さん)
907,TIME DRIVER 僕らが描いた未来
908,絵文字の国のジーン
910,ガールズ&パンツァー 第63回戦車道全国高校生大会 総集編
911,ゴーちゃん。～モコと氷の上の約束～
912,DAYS 東院学園戦
913,ときめきレストラン☆☆☆ MIRACLE6
914,劇場版 マジンガーZ ／ INFINITY
916,コードギアス 反逆のルルーシュII 叛道
919,ポチっと発明 ピカちんキット
920,少年ハリウッド -HOLLY STAGE FOR YOU- 完全版
922,フルメタル・パニック！ ディレクターズカット版 第2部「ワン・ナイト・スタンド」編
923,フルメタル・パニック！ ディレクターズカット版 第3部「イントゥ・ザ・ブルー」編
924,劇場版Infini-T Force／ガッチャマン さらば友よ
926,悪魔のメムメムちゃん
927,レイヤードストーリーズ ゼロ
928,剣王朝
930,うちのウッチョパス
932,タヌキとキツネ
933,ちちぶでぶちち
934,がん がん がんこちゃん (第2シリーズ)
935,ぷれぷれぷれあです2
936,モブサイコ100 REIGEN ～知られざる奇跡の霊能力者～
938,アイドリッシュセブン Vibrato
939,ニクいよっ！カルビくん
940,バーフバリ 失われた伝説 シーズン2
